Digi-Key, ATMEGA328P-AU-ND, 35010, 1, https://octopart.com/click/track?ak=8308f058&sig=0d5999e&sid=459&ppid=77760215&vpid=408716878&ct=offers, 5, None, None, GBP, 1.59, 1.59, 1.3189, 1.3189, 1.3189
Farnell, 2695348, 1044, 1, https://octopart.com/click/track?ak=8308f058&sig=0d1157a&sid=819&ppid=77760215&vpid=420539179&ct=offers, -, None, None, GBP, 1.84, 1.84, 1.52, 1.52, 1.52
RS Components, 1310271P, 4224, 10, https://octopart.com/click/track?ak=8308f058&sig=01cbe3a&sid=10022&ppid=77760215&vpid=439550566&ct=offers, -, None, None, GBP, -, -, 1.295, 1.295, 1.295
RS Components, 1310271, 1156, 2, https://octopart.com/click/track?ak=8308f058&sig=050697d&sid=10022&ppid=77760215&vpid=422141969&ct=offers, -, None, None, GBP, 1.79, 1.79, 1.295, 1.295, 1.295
Mouser, 556-ATMEGA328P-AU, 64392, 1, https://octopart.com/click/track?ak=8308f058&sig=04d8b91&sid=2401&ppid=77760215&vpid=408978600&ct=offers, -, None, None, GBP, 1.59, 1.59, 1.59, 1.59, 1.32651



