Digi-Key, MAX31855KASA+TCT-ND, 19712, 1, https://octopart.com/click/track?ak=8308f058&sig=03a4b43&sid=459&ppid=18998174&vpid=39491590&ct=offers, 9, None, None, GBP, 5.51, 5.51, 3.3287, 3.3287, 3.3287
Digi-Key, MAX31855KASA+TDKR-N, 19712, 1, https://octopart.com/click/track?ak=8308f058&sig=0d4192e&sid=459&ppid=18998174&vpid=39492097&ct=offers, 9, None, None, GBP, 5.51, 5.51, 3.3287, 3.3287, 3.3287
Digi-Key, MAX31855KASA+TTR-ND, 17500, 2500, https://octopart.com/click/track?ak=8308f058&sig=0c28bcf&sid=459&ppid=18998174&vpid=39491591&ct=offers, 9, None, None, GBP, -, -, -, 2.55891, 2.55891
Farnell, 2515622, 784, 1, https://octopart.com/click/track?ak=8308f058&sig=0245405&sid=819&ppid=18998174&vpid=247810294&ct=offers, -, None, None, GBP, 5.44, 5.44, 2.62, 2.62, 2.62
Mouser, 700-MAX31855KASA+T, 2485, 1, https://octopart.com/click/track?ak=8308f058&sig=0e8c6be&sid=2401&ppid=18998174&vpid=237844822&ct=offers, -, None, None, GBP, 5.51, 5.51, 5.51, 5.51, 2.55334
Newark, 73Y3353, 851, 1, https://octopart.com/click/track?ak=8308f058&sig=0699cea&sid=2402&ppid=18998174&vpid=252533317&ct=offers, -, None, None, GBP, 5.51, 5.51, 5.51, 2.55334, 2.55334
