Digi-Key, 490-1683-2-ND, 0, -, https://octopart.com/click/track?ak=8308f058&sig=081fe4b&sid=459&ppid=196397&vpid=1869905&ct=offers, 42, None, None, GBP, -, -, -, -, -
RS Components, 7900667, 0, 500, https://octopart.com/click/track?c=1&ak=8308f058&sig=03573d1&sid=10022&ppid=196397&vpid=199072337&ct=offers, -, None, None, GBP, -, -, -, 0.022, 0.022
RS Components, 7900667P, 0, 4000, https://octopart.com/click/track?c=1&ak=8308f058&sig=0ce6ea5&sid=10022&ppid=196397&vpid=437522722&ct=offers, -, None, None, GBP, -, -, -, 0.022, 0.022



