Digi-Key, 455-2249-ND, 348865, 1, https://octopart.com/click/track?ak=8308f058&sig=01d0f6c&sid=459&ppid=3990198&vpid=34221421&ct=offers, 24, None, None, GBP, 0.16, 0.16, 0.16, 0.16, 0.057625
RS Components, 8201551, 10600, 5, https://octopart.com/click/track?ak=8308f058&sig=008f8c9&sid=10022&ppid=3990198&vpid=199038077&ct=offers, -, None, None, GBP, 0.38, 0.38, 0.38, 0.26, 0.26
RS Components, 8201551P, 2928, 125, https://octopart.com/click/track?ak=8308f058&sig=027ecf4&sid=10022&ppid=3990198&vpid=437487352&ct=offers, -, None, None, GBP, -, -, -, 0.26, 0.26

RS Components, 1724913, 0, 500, https://octopart.com/click/track?c=1&ak=8308f058&sig=0cc3171&sid=10022&ppid=3990198&vpid=501096139&ct=offers, -, None, None, GBP, -, -, 0.062, 0.062, 0.062






Newark, 73M9436, 122611, 1, https://octopart.com/click/track?ak=8308f058&sig=0a46dca&sid=2402&ppid=7830565&vpid=11852918&ct=offers, -, None, None, GBP, 0.26, 0.26, 0.26, 0.12494, 0.12494


