Digi-Key, BS250FCT-ND, 93, 1, https://octopart.com/click/track?ak=8308f058&sig=05c410f&sid=459&ppid=335761&vpid=2042094&ct=offers, 36, None, None, GBP, 0.62, 0.62, 0.62, 0.24695, 0.24695
Digi-Key, BS250FDKR-ND, 93, 1, https://octopart.com/click/track?ak=8308f058&sig=006f0d2&sid=459&ppid=335761&vpid=33965759&ct=offers, 36, None, None, GBP, 0.62, 0.62, 0.62, 0.24695, 0.24695
RS Components, 2156593P, 8233, 30, https://octopart.com/click/track?ak=8308f058&sig=055dbed&sid=10022&ppid=335761&vpid=437457988&ct=offers, -, None, None, GBP, -, -, -, 0.27, 0.27
RS Components, 2156593, 52, 1, https://octopart.com/click/track?ak=8308f058&sig=0d830a8&sid=10022&ppid=335761&vpid=199007891&ct=offers, -, None, None, GBP, 2.0, 2.0, 2.0, 0.27, 0.27
Digi-Key, BS250FTR-ND, 0, 3000, https://octopart.com/click/track?ak=8308f058&sig=094905f&sid=459&ppid=335761&vpid=1703676&ct=offers, 36, None, None, GBP, -, -, -, 0.21729, 0.21729
Mouser, 522-BS250FTA, 0, 1, https://octopart.com/click/track?ak=8308f058&sig=02d74f7&sid=2401&ppid=335761&vpid=37801687&ct=offers, -, None, None, GBP, 0.49, 0.49, 0.49, 0.49, 0.170163
RS Components, 9227825, 0, 3000, https://octopart.com/click/track?c=1&ak=8308f058&sig=0dab3dd&sid=10022&ppid=335761&vpid=277368778&ct=offers, -, None, None, GBP, -, -, -, 0.216, 0.216


